NAME,total_population,female_white_alone_30_34,female_asian_alone_30_34,male_asian_alone_30_34,male_white_alone_30_34,male_white_alone_35_39,male_asian_alone_35_39,state,place
"Camanche North Shore CDP, California",1106,27,0,0,28,122,0,06,10042
"Camanche Village CDP, California",1945,93,0,0,68,176,0,06,10044
"Camarillo city, California",70622,1394,221,172,1093,1955,453,06,10046
"Cambria CDP, California",5825,31,0,0,46,129,0,06,10074
"Cambrian Park CDP, California",3551,9,45,18,80,68,54,06,10088
"Cameron Park CDP, California",17995,384,0,23,299,732,94,06,10256
"Camino CDP, California",2002,58,23,0,34,139,6,06,10270
"Camino Tassajara CDP, California",6238,28,13,53,0,140,338,06,10301
"Campbell city, California",43464,765,470,457,920,1451,1234,06,10345
"Camp Nelson CDP, California",73,0,0,0,0,0,0,06,10494
"Campo CDP, California",3468,29,0,3,62,62,0,06,10508
"Camp Pendleton Mainside CDP, California",9599,86,0,20,133,221,51,06,10554
"Camp Pendleton South CDP, California",13936,639,55,40,325,546,0,06,10561
"Camptonville CDP, California",224,0,0,0,0,0,0,06,10676
"Canby CDP, California",326,0,0,0,0,0,0,06,10732
"Cantua Creek CDP, California",522,0,0,0,0,0,0,06,10816
"Canyondam CDP, California",4,0,0,0,0,0,0,06,10914
"Canyon Lake city, California",11108,318,0,42,159,480,40,06,10928
"Capitola city, California",9921,139,28,36,163,363,55,06,11040
"Caribou CDP, California",0,0,0,0,0,0,0,06,11166
"Carlsbad city, California",114745,1898,295,302,1889,5181,777,06,11194
"Carmel-by-the-Sea city, California",3239,79,0,0,95,63,0,06,11250
"Carmel Valley Village CDP, California",4642,9,0,0,14,286,0,06,11324
"Carmet CDP, California",60,0,0,0,0,0,0,06,11376
"Carmichael CDP, California",78144,1351,194,273,1733,2759,627,06,11390
"Carnelian Bay CDP, California",534,71,0,0,10,21,0,06,11418
"Carpinteria city, California",13187,141,11,0,205,440,29,06,11446
"Carrick CDP, California",61,0,0,0,0,0,0,06,11481
"Carson city, California",94475,163,980,856,400,315,1572,06,11530
"Cartago CDP, California",68,0,0,0,0,4,0,06,11600
"Caruthers CDP, California",1950,72,0,0,0,11,0,06,11614
"Casa Conejo CDP, California",2711,59,0,15,81,132,8,06,11656
"Casa de Oro-Mount Helix CDP, California",20055,459,64,15,132,531,50,06,11691
"Casa Loma CDP, California",1431,0,0,0,0,3,7,06,11696
"Casmalia CDP, California",64,0,0,0,0,0,0,06,11754
"Caspar CDP, California",360,0,0,0,0,73,0,06,11768
"Cassel CDP, California",228,0,0,0,0,29,0,06,11782
"Castaic CDP, California",18643,213,111,51,256,554,121,06,11796
"Castella CDP, California",255,0,0,0,0,19,0,06,11824
"Castle Hill CDP, California",1010,0,12,0,0,40,25,06,11915
"Castro Valley CDP, California",65444,575,755,486,640,1260,1964,06,11964
"Castroville CDP, California",6620,0,24,0,77,25,18,06,11978
"Cathedral City city, California",51964,273,94,129,196,476,152,06,12048
"Catheys Valley CDP, California",723,0,0,0,0,6,0,06,12062
"Cayucos CDP, California",2361,36,0,0,8,60,8,06,12132
"Cazadero CDP, California",419,0,0,0,9,30,0,06,12146
"Cedar Flat CDP, California",948,18,0,0,34,70,0,06,12216
"Cedar Ridge CDP, California",1650,42,0,0,0,44,1,06,12300
"Cedar Slope CDP, California",0,0,0,0,0,0,0,06,12314
"Cedarville CDP, California",783,0,0,0,1,64,0,06,12328
"Centerville CDP (Fresno County), California",155,0,10,11,0,0,0,06,12412
"Centerville CDP (Shasta County), California",2204,48,10,6,25,18,37,06,12415
"Ceres city, California",49183,473,184,296,392,770,381,06,12524
"Cerritos city, California",49016,91,892,1000,158,444,1342,06,12552
"Chalfant CDP, California",605,26,0,0,0,75,0,06,12594
"Challenge-Brownsville CDP, California",866,0,0,0,0,116,0,06,12612
"Channel Islands Beach CDP, California",2708,45,16,0,0,141,0,06,12669
"Charleston View CDP, California",0,0,0,0,0,0,0,06,12730
"Charter Oak CDP, California",9335,33,19,32,49,100,79,06,12734
"Cherokee CDP, California",205,18,0,0,0,0,0,06,12818
"Cherokee Strip CDP, California",173,0,0,0,7,0,0,06,12860
"Cherryland CDP, California",15499,112,31,81,82,343,185,06,12902
"Cherry Valley CDP, California",7652,130,0,14,208,185,0,06,12916
"Chester CDP, California",2271,22,0,0,173,95,0,06,12930
"Chico city, California",102790,1916,250,191,2330,4316,273,06,13014
"Chilcoot-Vinton CDP, California",374,0,0,0,0,78,0,06,13077
"China Lake Acres CDP, California",2385,0,0,0,134,60,0,06,13157
"Chinese Camp CDP, California",54,0,0,0,0,0,0,06,13182
"Chino city, California",91008,366,539,517,811,1458,1441,06,13210
"Chino Hills city, California",78223,517,1181,1141,363,871,2005,06,13214
"Choctaw Valley CDP, California",56,0,0,0,0,0,0,06,13278
"Chowchilla city, California",18772,217,0,66,139,347,107,06,13294
"Chualar CDP, California",959,0,0,0,0,0,0,06,13364
"Chula Vista city, California",276103,1238,1425,1375,1602,3701,3317,06,13392
"Citrus CDP, California",10979,46,79,24,56,89,5,06,13560
"Citrus Heights city, California",87127,2611,112,141,2456,4152,169,06,13588
"Claremont city, California",36891,393,157,159,682,568,404,06,13756
"Clarksburg CDP, California",302,0,0,0,0,0,0,06,13784
"Clay CDP, California",1121,34,0,0,13,24,0,06,13854
"Clayton city, California",11070,85,67,45,61,415,121,06,13882
"Clear Creek CDP, California",307,0,0,0,12,29,0,06,13910
"Clearlake city, California",16612,363,8,0,305,611,0,06,13945
"Clearlake Oaks CDP, California",2074,0,0,0,0,61,0,06,13966
"Clearlake Riviera CDP, California",4461,81,0,0,138,80,0,06,13985
"Cleone CDP, California",774,32,0,0,0,46,0,06,14008
"Clio CDP, California",145,43,0,0,0,7,0,06,14106
"Clipper Mills CDP, California",314,0,0,0,0,62,0,06,14148
"Cloverdale city, California",8964,123,0,0,143,280,0,06,14190
"Clovis city, California",120607,2040,674,537,1598,3340,899,06,14218
"Clyde CDP, California",721,10,8,0,12,11,9,06,14232
"Coachella city, California",42279,0,13,11,25,12,0,06,14260
"Coalinga city, California",17488,100,77,18,148,560,44,06,14274
"Coarsegold CDP, California",4578,46,0,0,224,384,0,06,14288
"Cobb CDP, California",685,0,0,0,0,131,0,06,14302
"Coffee Creek CDP, California",278,0,0,0,0,0,0,06,14406
"Cohasset CDP, California",392,17,0,0,0,20,0,06,14442
"Cold Springs CDP (El Dorado County), California",612,8,0,0,0,18,0,06,14450
"Cold Springs CDP (Tuolumne County), California",16,0,0,0,0,0,0,06,14454
"Coleville CDP, California",388,0,0,0,0,19,35,06,14484
"Colfax city, California",2230,77,0,0,39,181,0,06,14498
"College City CDP, California",343,0,0,0,16,20,0,06,14554
"Collierville CDP, California",2104,16,0,0,26,90,0,06,14708
"Colma town, California",1376,23,11,36,19,10,18,06,14736
"Coloma CDP, California",279,0,0,0,0,0,0,06,14764
"Colton city, California",53959,378,42,67,233,396,164,06,14890
"Columbia CDP, California",2439,65,0,0,42,46,0,06,14904
"Colusa city, California",6380,58,0,0,17,170,0,06,14946
"Commerce city, California",12253,0,0,37,0,32,0,06,14974
"Comptche CDP, California",128,0,0,0,0,0,0,06,15030
"Compton city, California",94822,36,45,6,15,42,37,06,15044
"Concord city, California",125007,2257,923,919,2241,3996,1479,06,16000
"Concow CDP, California",244,14,0,0,9,60,0,06,16035
"Contra Costa Centre CDP, California",6884,167,108,42,147,186,228,06,16090
"Copperopolis CDP, California",3819,111,0,0,70,127,10,06,16210
"Corcoran city, California",22808,0,0,12,248,410,85,06,16224
"Corning city, California",8196,246,0,0,133,178,0,06,16322
"Corona city, California",158346,1342,573,371,1535,2907,1225,06,16350
"Coronado city, California",18871,293,21,21,275,778,98,06,16378
"Coronita CDP, California",3235,19,4,0,56,22,0,06,16420
"Corralitos CDP, California",2154,7,0,0,73,9,0,06,16434
"Corte Madera town, California",10155,231,56,43,266,496,29,06,16462
"Costa Mesa city, California",111490,2467,673,327,2570,4584,639,06,16532
"Cotati city, California",7545,226,0,0,260,498,26,06,16560
"Coto de Caza CDP, California",15632,177,0,0,141,564,25,06,16580
"Cottonwood CDP (Kern County), California",2802,0,0,0,0,0,0,06,16623
"Cottonwood CDP (Shasta County), California",5893,106,0,0,103,335,0,06,16630
"Coulterville CDP, California",25,0,0,0,0,0,0,06,16644
"Country Club CDP, California",9686,158,0,0,108,103,26,06,16651
"Courtland CDP, California",654,0,0,0,56,0,0,06,16714
"Covelo CDP, California",1359,36,0,0,6,57,0,06,16728
"Covina city, California",50717,290,240,199,476,453,718,06,16742
